id,question_id,created,updated,content,creator,is_spam,num_helpful,num_unhelpful
1774617,1543070,2025-10-25T01:09:12.694056Z,2025-10-25T01:11:20.807803Z,<p>I had to disable swipe to avoid this. sad! </p><p>if you swipe just a little left and then swipe back it still deletes. </p>,whitedavidp,False,0,0
1774663,1543070,2025-10-25T03:37:50.654979Z,2025-10-25T07:59:24.963216Z,"<p>The swipe sensitivity bug has been fixed and can be tested in <a href=""https://github.com/thunderbird/thunderbird-android/releases"" rel=""nofollow"">beta v14.2.</a> </p><p>Fix Reference: <a href=""https://github.com/thunderbird/thunderbird-android/pull/9842"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/pull/9842</a> </p>",platform34,False,1,0
1774727,1543113,2025-10-25T11:36:26.690710Z,2025-10-25T11:36:26.690717Z,"<p>Hi, normally a deleted email is moved to the trash and if you did not yet emptied the trash you can restore it from there. otherwise it is not possible to restore </p>",Mad_Maks,False,0,0
1774732,1543105,2025-10-25T11:52:59.117375Z,2025-10-25T11:52:59.117382Z,"<p>It looks like <a href=""https://bugzilla.mozilla.org/show_bug.cgi?id=1990571"" rel=""nofollow"">https://bugzilla.mozilla.org/show_bug.cgi?id=1990571</a>. when you reinstalled Thunderbird do you know witch version that was? </p>",Mad_Maks,False,0,0
1774750,1543105,2025-10-25T12:26:35.316053Z,2025-10-25T12:26:35.316060Z,"<p>They are looking in to this issue, but it has been noticed that this sometimes occurs when people have a deeper hierachy of folders/subfolders. It seems a possibility it's related to the number of characters in the path name. </p><p>In the meantime suggestion is too try this first: If you have any folders with a more lengthy name, then rename to a shorter name: eg: If folder name is 'Online Orders' then rename to 'Orders' as that saves 7 chars (including the space) Or if you have a folder called eg: 'Marks and Spencer' rename as 'M&amp;S' </p><p>Some people may have an issue if they got Thunderbird via the 'Windows App Store' because Windows auot puts the profile in a location which has a longer path directory. If this is your case, then it's advised to uninstall Thunderbird and get a download from the official website:  <a href=""https://www.thunderbird.net/en-US/thunderbird/all/"" rel=""nofollow"">https://www.thunderbird.net/en-US/thunderbird/all/</a> </p><p>You can move the profile if required or set up again in a new profile. Info can be supplied if required. </p>",Toad-Hall,False,0,0
1774803,1543070,2025-10-25T15:24:27.306437Z,2025-10-25T15:24:27.306444Z,<p>Hi and thanks for the response. Good to know it is not just me :-( Glad to know it will be fixed. </p><p>I will just have to live without swipe actions until v14 is released. </p><p>Best </p>,whitedavidp,False,0,0
1775061,1543105,2025-10-27T05:36:28.300261Z,2025-10-27T05:36:28.300270Z,"<p>Ole, are you using the M Store? </p>",wsmwk,False,0,0
1781795,1543070,2025-11-24T23:31:18.433299Z,2025-11-24T23:31:18.433305Z,<p>Just got release 14.0 + not fixed there. </p>,whitedavidp,False,0,0
1795121,1543070,2026-01-20T21:49:31.421717Z,2026-01-20T21:49:31.421724Z,"<em><p>whitedavidp <a href=""#answer-1781795"" rel=""nofollow"">said</a></p></em> <blockquote>Just got release 14.0 + not fixed there. </blockquote> <p>If it is still failing v14, please file a bug at <a href=""https://github.com/thunderbird/thunderbird-android/issues"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues</a> with device details, etc. </p>",wsmwk,False,0,0
1795122,1543070,2026-01-20T21:50:22.281466Z,2026-01-20T21:50:22.281472Z,"<p>And in your report, reference ""issue 7605""   <a href=""https://github.com/thunderbird/thunderbird-android/issues/7605"" rel=""nofollow"">https://github.com/thunderbird/thunderbird-android/issues/7605</a> </p>",wsmwk,False,0,0
1795144,1543070,2026-01-20T22:42:42.493605Z,2026-01-20T22:42:42.493611Z,<p>Thanks Wayne. I now have 15.0 and it is finally working correctly now. Best </p>,whitedavidp,False,0,0
1795145,1543070,2026-01-20T22:48:13.938796Z,2026-01-20T22:48:13.938803Z,<p>You're welcome. Thanks for the update! </p>,wsmwk,False,0,0
