id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version
1480316,2024-12-20T02:07:18.769148Z,2024-12-20T03:25:28.435094Z,en-US,thunderbird-android,TBird for Android,False,,,False,,,install,thunderbird-android;install;,keithrbaulaptop,<p>I tried to install TB beta on my phone </p><p>The step which is supposed to confirm that TB should access my gmail dat kept taking me to a google search page - the last thing I want anywhere on my systems. </p><p>I uninstalled and tried again twice with no improvement. The second attempt included deleting all app data on the phone. </p><p>As I was looking for this page I saw mention of TB nightly. It is not yet in my version of the play store. </p><p>All the best </p><p>Keith Bainbridge </p><p>[edited email and phone# from community support forum] </p><p>UTC + 10:00 </p>,keithrbaulaptop;,True,False,False,;useragent:Mozilla/5.0 (X11; Linux x86_64; rv:133.0) Gecko/20100101 Firefox/133.0,0,0,0,,,James,,
1480330,2024-12-20T05:31:13.580719Z,2024-12-22T20:09:46.075568Z,en-US,thunderbird-android,Thunderbird - Android - print problem,False,,,False,1696846,1696846;,customization,customization;thunderbird-android;,kontakt437,"<p>Hello, </p><p>I can't find / activate a print function in Thunderbird </p><p>Tunderbird version 8.2 Chrome OS 14541.0.0 </p><p>I cannot find any references to this in the forums </p><p>What do I need to do or install additionally? </p><p>Best regards </p>",kontakt437;plwt;,True,False,False,";useragent:Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Safari/537.36",1,0,0,,,,,
1480342,2024-12-20T07:15:06.966570Z,2024-12-20T07:15:06.966575Z,en-US,thunderbird-android,"I don't want UNIFIED INBOX as I use Gmail separately, can I hide UNIFIED?",False,,,False,,,customization,android;customization;thunderbird-android;,rodneyanderson1945,"<p>Please tell me how to Hide UNIFIED EMAIL in Thunderbird for Android as I use GMAIL separately.  By the way, apart from this small request I love THUNDERBIRD FOR ANDROID it's by far the best I've used, thank you </p>",rodneyanderson1945;,True,False,False,";useragent:Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36;os:Android",0,0,1,,,,Android,
1480344,2024-12-20T07:38:53.294653Z,2024-12-20T07:38:53.294658Z,en-US,thunderbird-android,"When scrolling through messages, the subject line etc. disappears.",False,,,False,,,crashing-and-slow-performance,thunderbird-android;crashing-and-slow-performance;,iwakit63b,"<p>Hello! When scrolling through messages, the subject, sender and recipient parts disappear. They appear temporarily when I tap on the icons or blank areas at the top, but disappear again when I scroll. This happens with both plain text and HTML emails, but only some HTML emails display fine. I can't find any other similar questions, so I wonder if this problem is unique to my environment? If so, I'll wait until I buy a new smartphone. Please give me some advice. </p><p>Thunderbird for Android 8.2 OPPO AX7 (Android OS 8.1), Japanese </p>",iwakit63b;,True,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36 Edg/131.0.0.0",0,0,0,,,,,
1480347,2024-12-20T08:27:04.498151Z,2024-12-20T08:27:04.498157Z,en-US,thunderbird-android,Feature suggestion,False,,,False,,,crashing-and-slow-performance,android;thunderbird-android;crashing-and-slow-performance;,joel_ibarra,"<p>a lot of my emails have parts of the email overlapping each other, can we get an option to have the emails auto fit? I have the latest version of Thunderbird on mobile. </p>",joel_ibarra;,True,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36;os:Android",0,0,0,,,,Android,
1480385,2024-12-20T12:17:41.367578Z,2024-12-20T12:17:41.367582Z,en-US,thunderbird-android,Mails,False,,,False,,,send-and-receive-email,thunderbird-android;send-and-receive-email;,cedric.noirtault,"<p>Hello. Excusez-moi, après un bug hier soir, tous mes mails ont disparus et sur le serveur... Aucune moyen de les récupérer ? Merci, cedric. <a href=""mailto:Cedric.noirtault@wanadoo.fr"" rel=""nofollow"">Cedric.noirtault@wanadoo.fr</a> </p>",cedric.noirtault;,True,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36;os:Windows et Android",0,0,0,,,,Windows et Android,
1480416,2024-12-20T14:57:32.426181Z,2024-12-20T14:57:32.426187Z,en-US,thunderbird-android,Sent email doesn't arrive  to final address,False,,,False,,,send-and-receive-email,android;thunderbird-android;send-and-receive-email;,clp9666,"<p>I am at a loss and tried looking for solutions but, my issue with sending email through Thunderbird Android. </p><p>I have three accounts, gmail and 2 personal. One of my personal email accounts (IMAP); email gets sent, copied onto server's sent folder and everything is normal... EXCEPT the recipient doesn't get the email. </p><p>I use this account on Thunderbird Desktop and its fine... I see the sent email from android on the desktop but the email sent doesn't hit the final inbox. </p><p>Anyone have an idea? </p><p>I've changed settings (signature, type format, etc.), I've removed the account and added again. I've waited days to see if email gets delivered and it doesn't. </p><p>It's weird because Thunderbird desktop has no issues. </p>",clp9666;,True,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36;os:Android",0,0,0,,,,Android,
1480436,2024-12-20T16:44:29.509619Z,2024-12-20T16:44:29.509626Z,en-US,thunderbird-android,imoble d importer les paramètres pour android,False,,,False,,,import-and-export-settings,thunderbird-android;import-and-export-settings;,user330511124335489707041172212957807323798,"<p>Bonsoir, je n arrive pas a importer les paramètre Thunderbird pour android depuis mon pc avec le qrcode du pc. Merci </p>",user330511124335489707041172212957807323798;,True,False,False,;useragent:Mozilla/5.0 (X11; Linux x86_64; rv:133.0) Gecko/20100101 Firefox/133.0;os:Linux mint,0,0,0,,,,Linux mint,
1480439,2024-12-20T16:56:13.166541Z,2024-12-20T16:56:13.166547Z,en-US,thunderbird-android,"Thunderbird on android phone. it is only showing an outbox, no sent, no inbox......",False,,,False,,,send-and-receive-email,thunderbird-android;send-and-receive-email;,z11,"<p>Thunderbird on android phone. it is only showing an outbox, no sent, no inbox...... </p>",z11;,True,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36",0,0,0,,,,,
1480473,2024-12-20T21:03:19.504505Z,2025-06-14T16:01:53.897666Z,en-US,thunderbird-android,Android app,False,,,False,1741888,1696843;1741888;,email-and-messaging,email-and-messaging;thunderbird-android;,bcpower,<p>I am unable to print my email messages </p>,bcpower;plwt;DebbieK;,True,False,False,";useragent:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Mobile Safari/537.36;os:Android Motorola RAZR",2,0,9,,,,Android Motorola RAZR,
