id,created,updated,locale,product,title,is_solved,solution,solved_by,is_spam,last_answer,answers,topic,tags,creator,content,involved,is_archived,is_locked,is_taken,metadata,num_answers,num_votes_past_week,num_votes,taken_until,taken_by,updated_by,operating_system,thunderbird_version
1492599,2025-02-12T00:16:56.117114Z,2025-02-12T00:38:43.373920Z,en-US,thunderbird,Can receive but not send Emails,False,,,False,1711441,1711441;,send-and-receive-email,thunderbird;send-and-receive-email;,jaiy,"<p>Hi, all of a sudden I can no longer send Emails. I get a long period of hanging after sending then a message saying password not incorrect. </p><p>This was going on for a couple hours when it was working(able to send messages); </p><p>Then just now just to double check before posting this(see the actual what the actual fail message is saying), </p><p>I can now send messages again - but now it doesn't ask me for a password first, where before I needed one. It will just send the Email. </p><p>This is very strange behavior going on as I didn't do any restarting of the computer - only closing Thunderbird.(which didn't do anything for a couple trys). </p><p>Is it possible there is some background updating going on? Or something else? </p><p>Insights are appreciated. </p>",jaiy;DavidGG;,True,False,False,";useragent:Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36",1,0,0,,,,,
1492615,2025-02-12T02:38:55.165168Z,2025-02-12T10:00:06.007004Z,en-US,thunderbird,"Can't get sent emails, only inbox mails",False,,,False,1711516,1711516;,send-and-receive-email,thunderbird;send-and-receive-email;,lunaross101,<p>I set up MT yesterday. I got all the inbox emails but none of the sent ones. I checked the SMTP and seems correct </p>,lunaross101;DavidGG;,True,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,1,0,0,,,,,
1492616,2025-02-12T02:41:26.938061Z,2025-02-12T02:41:26.938068Z,es,thunderbird,Thunderbird keeps freexing/crashing everytime I open it. There is no way to use it. I'm using 128.7 version in Windows 11,False,,,False,,,app-crash,thunderbird;app-crash;,nadia.t,"<p>Hi, I've been using Thunderbird for at least two decades. In january (aprox) it kept freezing after using it for a while. It was a pain but I closed it (the hard way because it did not respond) and then reopened it. I managed to use it this way until today. Today it froze at starting it up. I've tried uninstalling and reinstalling, I've tried opening it up without extensions, I've tried installing an older version. Nothing has worked thus far. Please please help me. I have to be able to read my older messages and to see my folders. </p>",nadia.t;,True,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0",0,0,0,,,,,
1492623,2025-02-12T03:55:21.854851Z,2025-02-18T15:15:04.286286Z,en-US,thunderbird,Very long connecting time on first launch,True,1711571,admin952,False,1712931,1711571;1712931;,connectivity,thunderbird;connectivity;,admin952,"<p>I'm on Thunderbird (128.6.0esr (64-bit)) on Fedora/GNOME. I've noticed, that whenever I launch Thunderbird, it takes several minutes (!) where it says ""Connecting to <a href=""http://mail.myserver.com"" rel=""nofollow"">mail.myserver.com</a>"" in status. I'm using my own postfix/dovecot server with imap and I don't have this problem on Thunderbird Windows for instance, where it connects right away on startup. After the initial slow connection, it works just fine, when I manually trigger to scan for new messages (instantly). I tried literally any option within Thunderbird to fix that, without any success. It seems to be some trouble with resolving / dns or probably ip6/ip4, but then again, why would it work normally after the long connection time in the beginning? Any clue what might be the problem here? </p>",admin952;wsmwk;,True,False,False,;useragent:Mozilla/5.0 (X11; Linux x86_64; rv:135.0) Gecko/20100101 Firefox/135.0;solver_id:181052,2,0,0,,,,,
1492628,2025-02-12T05:18:27.614351Z,2025-02-12T09:50:09.259777Z,en-US,thunderbird,copy some emails & folders across from laptop to Desktop Windows 10 Computers,False,,,False,1711514,1711514;,import-and-export-email,thunderbird;import-and-export-email;,dasmit,"<p>Hi,Please assist I have had down for approximately 5 weeks,My Windows 10 Desktop &amp; I use to save all from my Desktop all Thunderbird Emails &amp; Folders &amp;  some programs  that are still on my Desktop &amp; I have  used my Laptop Since Microsoft(for which Stuffed up the Settings on the Desktop Computer} have promised that on Sunday,They will install a new addition &amp; save Thunderbird Settings prior to them causing the Desktop to Shut down &amp; They cannot even restart it I have a Back up Disc for Both Computers,But being a little slack &amp; Time wise,The Last Back up of C: was on the1st week in January 2025 As Soon As THey Re-do my Desktop,I need to copy all the emails &amp; Folders from my Laptop ONLY SINCE THE DESKTOP Computer has been Down Please assist Thanking you Darryl </p>",dasmit;DavidGG;,True,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:135.0) Gecko/20100101 Firefox/135.0,1,0,0,,,,,
1492632,2025-02-12T06:31:33.115957Z,2025-02-12T12:51:13.623430Z,en-US,thunderbird,УДАЛЕНИЕ ИОСТОРИИ АРХИВА ПИСЕМ,False,,,False,1711533,1711533;,email-and-messaging,thunderbird;email-and-messaging;,CREW4,"<p>CREW4 </p><p>Feb 10, 2025, 06:08 CST </p><p>ДД ВХД // ОТПРАВ // КОРЗИНА ПАПКИ - ПУСТЫ. НО ПРИ ВВОДЕ АДРЕСА В СТРОКЕ ПОИСКА - ПОДГРУЖАЮТСЯ ПИСЬМА СТАРЫХ ЛЕТ И ДАВНО УДАЛЕННЫЕ. КАК СДЕЛАТЬ ЧТОБЫ ИХ ОЧИСТИТЬ НАВСЕГДА И ЧТОБЫ ВПРЕДЬ НЕ СОХРАНЯЛИСЬ. ИЛИ ХОТЯ БЫ ПРОСТО ОЧИСТИТЬ . ОНИ ГДЕ ХРАНЯТСЯ КАК ИСТОРИЯ В ПАПКЕ ЛОКАЛЬНЫЕ В ПРОФИЛИ? ИЛИ У ВАС НА СЕРВЕРЕ? В ОБЩЕМ НАДО НАМ ИХ УДАЛИТЬ. НАУЧИТЕ КАК ЭТО СДЕЛАТЬ. </p>",CREW4;davidsk;,True,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 Edg/132.0.0.0",1,0,0,,,,,
1492638,2025-02-12T07:46:38.891446Z,2025-02-12T18:10:22.281565Z,en-US,thunderbird,Theme tree,False,,,False,1711601,1711601;,customization,thunderbird;customization;,alexandra.kohler,"<p>Dear Support Team, </p><p>After the last update, I noticed that the function “Show in topic tree/Im Themenbaum anzeigen"" no longer appears in Thunderbird. </p><p>This feature was essential for me as it allowed me to organize my emails efficiently. Without it, Thunderbird is much less practical for me. </p><p>Can you please let me know if it is possible to restore this function? If there is a setting or menu field that I can activate, I would be very grateful for brief instructions. </p><p>Versionnumber: 128.6.0esr (64-Bit) Mac </p><p>Thank you very much for your support!! </p>",alexandra.kohler;sfhowes;,True,False,False,";useragent:Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.3 Safari/605.1.15",1,0,1,,,,,
1492643,2025-02-12T08:11:09.701687Z,2025-02-12T09:14:36.569720Z,en-US,thunderbird,problème connexion compte,False,,,False,1711510,1711510;,connectivity,thunderbird;connectivity;,iinvest87,"<p>Bonjour, Je ne parviens pas à me connecter avec Thunderbird sur mon compte <a href=""mailto:iinvest87@gmail.com"" rel=""nofollow"">iinvest87@gmail.com</a> pourtant le mot de passe est correct. J'ai vérifier les paramètres google sont corrects aussi et permet bien l'accès. un message d'erreur s'affiche et indique que l'identifiant ou le mot de passe sont incorrect mais ce n'est pas le cs, de plus je parvient à me connecter sur d'autres appareils. Merci de m'aider svp </p>",iinvest87;DavidGG;,True,False,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",1,0,0,,,,,
1492647,2025-02-12T08:23:06.166202Z,2025-02-12T08:25:33.396080Z,it,thunderbird,FILTRI MESSAGGI,False,,,False,1711488,1711488;,customization,thunderbird;customization;,stefano.ferrecchi,"<p>Buongiorno, vorrei sapere se c'è un modo per sapere che FILTRO MESSAGGIO è applicato ad un messaggio in arrivo; vedo che viene etichettato ad esempio con l'occhio ""TIENI D'OCCHIO LA DISCUSSIONE"" e con la stellina gialla ""AGGIUNGI A SPECIALI"" ma non ho mai creato un FILTRO MESSAGGIO per quell'inidirzzo mail. Grazie </p>",stefano.ferrecchi;@next;,True,True,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0,1,0,0,,,,,
1492648,2025-02-12T08:23:06.202111Z,2025-02-14T08:31:53.244890Z,it,thunderbird,FILTRI MESSAGGI,False,,,False,1712016,1711489;1711503;1711552;1711905;1712013;1712016;,customization,thunderbird;customization;,stefano.ferrecchi,"<p>Buongiorno, vorrei sapere se c'è un modo per sapere che FILTRO MESSAGGIO è applicato ad un messaggio in arrivo; vedo che viene etichettato ad esempio con l'occhio ""TIENI D'OCCHIO LA DISCUSSIONE"" e con la stellina gialla ""AGGIUNGI A SPECIALI"" ma non ho mai creato un FILTRO MESSAGGIO per quell'inidirzzo mail. Grazie </p>",stefano.ferrecchi;@next;,True,False,False,;useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:134.0) Gecko/20100101 Firefox/134.0,6,0,0,,,,,
1492651,2025-02-12T08:34:47.369277Z,2025-02-12T08:36:16.558125Z,it,thunderbird,adalberto.rho@tim.it invia ma non riceve posta in arrivo,False,,,False,1711494,1711494;,send-and-receive-email,thunderbird;send-and-receive-email;,rhoadalberto,"<p>non riesco a ricevere i messaggi <a href=""mailto:adalberto.rho@tim.it"" rel=""nofollow"">adalberto.rho@tim.it</a> </p>",rhoadalberto;@next;,True,True,False,";useragent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Safari/537.36",1,0,0,,,,,
